annual_review_year	match_text
1950	review of the expenditure of the Ministry of External Affairs. The total expenditure in 1950-51, according to the revised estimates, is expected to amount to Rs. 597 lakhs. Included within this amount are certain items of expenditure which are fixed in nature or have little relation to the normal activities of the Ministry. These are:(1) Tribal Areas including the Assam Rifles-Rs. 150 lakhs; (2) Subsidies to neighbouring States and administration of Chandernagore-about Rs. 25 lakhs; (3) Contributions to the United Nations and delegations thereto-Rs. 74 lakhs; (4) Expenditure on demarcation of boundary between India and Pakistan, Recovery of abducted women and implementation of P.M.'s agreement-Rs. 21 lakhs; (5) Passports and Emigration Establishment-Rs. 5 lakhs: (6) Political pensions and cost of repatriation of IndiansRs. 3 lakhs. It will thus appear that the actual expenditure on the normal work of this Ministry is much less than what appears at first sight. If the expenditure on the special items enumerated above (totalling Rs. 278 lakhs) is excluded, the expenditure on items, strictly pertaining to this Ministry, works out to Rs. 319 lakhs. This includes an expenditure of Rs. 48 lakhs on our biggest Mission, viz. the High Commissioner's Office in London, and Rs. 54 lakhs on account of the pay and allowances of officers and staff and other expenses at the headquarters of the Ministry. Although the work of the
1950	in the senior staff. Excluding the expenditure in headquarters and the High Commissioner's Office in London, the expenditure, incurred on our Missions abroad, comes to Rs. 217 lakhs. Spread over 55 Missions, this gives an average of less than 4 lakhs per Mission. Out of this expenditure an average of a little less than Rs. 1 lakh per Mission is spent on pay and allowances of officers and staff. The expenditure on rent for office and residential accommodation alone works up to an average of Rs. 1/2 lakh per Mission. FRANCE NORWAY ITALY YUGOSLAVIA EGYPT USA JORDAN LEBANON SYRIA MEXICO SWEDEN DENMARK FINLAND SWITZERLAND AUSTRIA BRAZIL SLOVAKIA TURKEY IRAN CANADA FIJI CHINA INDIA
1950	under the Government of Burma on grounds of nationality. Assistance in securing employment was rendered to these persons through the Employment Exchanges, and over two thousand persons were provided with alternative employment under the Government of India. 3. Bhutan.--The Government of India's Political Officer in Sikkim visited Bhutan during October 1950.
1950	for the intending Indian evacuees. In addition to the normal facilities, he was able to secure remittance facilities for them up to the extent of Rs. 100 for each adult and Rs. 50 for each child per month. The Government of Vietnam have offered to sell to the Government of India 30,000 tons of rice. Negotiations for
1953	1953 in order to help the Iranian Government to combat the locust menace in the South East Coastal area of Iran. A gift donation of Rs.15,000 was made to the Iranian Red Lion and Sun Society through the Indian Red Cross in aid of the victims of earthquake at Torud in
1953	Tribal Areas, (iii) Chandernagore and (iv) Miscellaneous. Total expenditure under all these heads in 1953-54 according too the revised estimates is expected to amount to Rs. 967.35 lakhs. Included in this amount are certain items of expenditure which are either fixed in nature or do not relate to External Affairs proper These are: 1. Tribal areas including the Assam Rifles, and provision for Economic Development Schemes (Rs. 29.31 lakhs) and Community Projects (Rs. 8.10 lakhs) in the North East Frontier Rs. 377.45 2. Payments to neighbouring States and expenditure of the Chandernagore Administration Rs. 48.26 l 3. Contribution to the U.N.O. and Delegations thereto Rs. 72.33 l 4. Expenditure on demarcation of boundaries between India and Pakistan, Recovery of abducted Women and Children and implementation of Prime Ministers' Agreement Rs. 15.74 5. Passport and Emigration Establishments lakhs akhs akhs lakhs Rs. 13.48 lakhs 6. Miscellaneous expenditure e.g. that on pilgrims and evacuees, repatriation of Indians, loss by exchange etc. Rs. 5.08 la khs If the special items enumerated above totalling Rs. 532.34 lakhs are excluded, the expenditure which may be described as direct expenditure on External Relations works out to Rs. 435.01 lakhs. This includes Rs. 51.42 lakhs on the High Commissioner's office, London and Rs. 77.85 lakhs on pay and allowances of officers and staff and other expenses at the Headquarters of the Ministry. Excluding the expenditure at headquarters and in the High, Commissioner's office, London, the expenditure incurred on ourMissions and Posts abroad comes to Rs. 305.74 lakhs. Spread over 73 Missions of which two (Lisbon and Kashgar) were closed during the year, the average works out to Rs. 4.19 lakhs per Mission. Out of' this expenditure an, average of Rs. 1.16 lakhs per Mission was spent <pg33> on pay and allowances of Heads of Missions and other officers. Expenditure on rent for office and residential accommodation alone worked out to Rs. 39.45 lakhs. Every effort was made to cope with the increasing volume of work without a corresponding increase in the number of senior officers. The closing down
1953	the Second World War. There were 28 cases of repatriation during 1953 from countries like Iraq, Jedda, Egypt, Malaya, Switzerland etc., and an expenditure of Rs. 4,000 was incurred on this account. Only Rs. 400 out of this could be recovered as the repatriates were almost destitute. Relief payments were advanced in 10 cases by the Indian Missions abroad
1953	them. 3. The total amount advanced under the Government of India's Scheme of Financial Assistance to Evacuees from Burma, Malaya, etc. (war zones) was about Rs. 7,17,97,000, including a sum of Rs. 85,000 paid in territories which are now in Pakistan. A sum of approximately Rs. 19,01,141 has been recovered and a sum of approximately Rs. 1,45,89,722 has had to be written off up-to-date. The policy has been to effect the maximum amount of recovery in the minimum period of time,
1953	industries in India. Only one of these scholarships could be awarded in 1953; the scheme will be developed in 1954. In December 1953, over one hundred African students in India met in a conference in Delhi which was inaugurated by the Prime Minister. At the invitation of the Indian Council of
1953	of the United Nations stands for. I am certain that, in saying so, I have echoed the feeling of every single person of the 360 millions who inhabit this country as well as of hundreds of millions of other peoples in Asia and Africa. We can never tolerate this idea of racial discrimination and inequality." (House of The People-17th August, 1953). "We Are concerned with the fate of hundreds and thousands of these people who, though no longer citizens and nationals of India, were in the past connected with India, about whom we have various agreements 
